[1 - 7fa9b805a000]    0.116989 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116994 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.117000 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.117005 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7fa9b806d000]    0.122023 {2}{mapper}: SELECT_SHARDING_FUNCTOR for init_cublas<5>
[1 - 7fa9b806d000]    0.122068 {2}{mapper}:   0 <- (0) (1) (2) (3)
[1 - 7fa9b806d000]    0.122075 {2}{mapper}:   1 <- (4) (5) (6) (7)
[1 - 7fa9b806d000]    0.123006 {2}{mapper}: SLICE_TASK for init_cublas<7>
[1 - 7fa9b806d000]    0.123020 {2}{mapper}:   INPUT: <4>..<7>
[1 - 7fa9b806d000]    0.123026 {2}{mapper}:   OUTPUT:
[1 - 7fa9b806d000]    0.123031 {2}{mapper}:     <4>..<4> -> 1d00010000000003
[1 - 7fa9b806d000]    0.123036 {2}{mapper}:     <5>..<5> -> 1d00010000000004
[1 - 7fa9b806d000]    0.123042 {2}{mapper}:     <6>..<6> -> 1d00010000000005
[1 - 7fa9b806d000]    0.123047 {2}{mapper}:     <7>..<7> -> 1d00010000000006
[1 - 7fa9b806d000]    0.123312 {2}{mapper}: MAP_TASK for init_cublas(index_point=(4))<17>
[1 - 7fa9b806d000]    0.123326 {2}{mapper}:   INPUT:
[1 - 7fa9b806d000]    0.123332 {2}{mapper}:   TARGET PROCS: 1d00010000000003
[1 - 7fa9b806d000]    0.123337 {2}{mapper}:   CHOSEN VARIANT: init_cublas
