[1 - 7f4a6409c000]    0.172603 {2}{mapper}:     <7>..<7> -> 1d00010000000006
[1 - 7f4a6409c000]    0.172962 {2}{mapper}: MAP_TASK for init_cublas(index_point=(4))<17>
[1 - 7f4a6409c000]    0.172976 {2}{mapper}:   INPUT:
[1 - 7f4a6409c000]    0.172982 {2}{mapper}:   TARGET PROCS: 1d00010000000003
[1 - 7f4a6409c000]    0.172987 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7f4a6409c000]    0.172993 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7f4a6409c000]    0.173196 {2}{mapper}: MAP_TASK for init_cublas(index_point=(5))<19>
[1 - 7f4a6409c000]    0.173208 {2}{mapper}:   INPUT:
[1 - 7f4a6409c000]    0.173213 {2}{mapper}:   TARGET PROCS: 1d00010000000004
[1 - 7f4a6409c000]    0.173219 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7f4a6409c000]    0.173224 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7f4a6409c000]    0.173409 {2}{mapper}: MAP_TASK for init_cublas(index_point=(6))<21>
[1 - 7f4a6409c000]    0.173420 {2}{mapper}:   INPUT:
[1 - 7f4a6409c000]    0.173425 {2}{mapper}:   TARGET PROCS: 1d00010000000005
[1 - 7f4a6409c000]    0.173431 {2}{mapper}:   CHOSEN VARIANT: init_cublas
